#class tools::histo::h1d
#title Edep in silicon
#dimension 1
#axis fixed 2000 0 2
#annotation axis_x.title 
#bin_number 2002
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
48771,48771,48771,0,0
3,3,3,0.00493424,8.3811e-06
2,2,2,0.00482189,1.19042e-05
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,2,2,0.0129524,8.42095e-05
0,0,0,0,0
3,3,3,0.0261575,0.000228307
1,1,1,0.00912445,8.32556e-05
0,0,0,0,0
3,3,3,0.0343592,0.000393721
2,2,2,0.0253348,0.000320935
0,0,0,0,0
1,1,1,0.0140478,0.000197342
0,0,0,0,0
0,0,0,0,0
2,2,2,0.0349729,0.000611764
4,4,4,0.0742385,0.00137806
9,9,9,0.176464,0.00346098
16,16,16,0.328177,0.00673239
26,26,26,0.561015,0.0121072
40,40,40,0.900504,0.0202762
39,39,39,0.920377,0.0217234
49,49,49,1.20108,0.0294448
66,66,66,1.68042,0.0427911
57,57,57,1.51132,0.0400768
61,61,61,1.67866,0.0462
56,56,56,1.59587,0.045484
51,51,51,1.50373,0.0443412
59,59,59,1.79608,0.0546808
53,53,53,1.66897,0.0525608
44,44,44,1.42779,0.046335
45,45,45,1.51021,0.0506871
38,38,38,1.31116,0.0452441
31,31,31,1.10053,0.0390726
26,26,26,0.947487,0.0345296
22,22,22,0.825431,0.0309713
29,29,29,1.11492,0.0428659
13,13,13,0.51296,0.0202418
16,16,16,0.648615,0.0262956
16,16,16,0.664868,0.0276294
12,12,12,0.510262,0.0216984
16,16,16,0.696618,0.0303317
10,10,10,0.443251,0.0196478
6,6,6,0.27329,0.0124484
7,7,7,0.324889,0.0150798
7,7,7,0.331071,0.0156585
5,5,5,0.242067,0.0117197
10,10,10,0.495002,0.0245038
4,4,4,0.20248,0.0102499
5,5,5,0.257143,0.0132248
5,5,5,0.262591,0.0137909
6,6,6,0.319429,0.017006
12,12,12,0.653343,0.0355723
7,7,7,0.38915,0.0216347
6,6,6,0.338973,0.0191508
3,3,3,0.172117,0.00987487
5,5,5,0.291628,0.0170097
3,3,3,0.179296,0.0107157
6,6,6,0.362541,0.0219065
8,8,8,0.492582,0.0303302
4,4,4,0.249824,0.0156032
2,2,2,0.126991,0.00806345
3,3,3,0.193804,0.0125202
5,5,5,0.327508,0.0214524
7,7,7,0.465771,0.0309925
3,3,3,0.202259,0.0136363
4,4,4,0.273167,0.0186552
5,5,5,0.347289,0.0241223
2,2,2,0.140668,0.00989399
2,2,2,0.143115,0.010241
6,6,6,0.435709,0.0316408
5,5,5,0.367775,0.0270522
3,3,3,0.223655,0.016674
3,3,3,0.226561,0.0171103
3,3,3,0.228871,0.0174607
6,6,6,0.465636,0.0361366
1,1,1,0.0781202,0.00610276
3,3,3,0.239709,0.0191535
1,1,1,0.0806655,0.00650692
3,3,3,0.24392,0.0198325
0,0,0,0,0
2,2,2,0.166961,0.0139385
1,1,1,0.0843863,0.00712105
4,4,4,0.342448,0.0293178
1,1,1,0.0866738,0.00751235
2,2,2,0.175103,0.0153309
5,5,5,0.441728,0.039025
3,3,3,0.268081,0.023956
0,0,0,0,0
1,1,1,0.09175,0.00841806
1,1,1,0.092935,0.00863692
5,5,5,0.468163,0.0438356
1,1,1,0.0949692,0.00901915
0,0,0,0,0
4,4,4,0.385528,0.0371585
2,2,2,0.194482,0.0189117
2,2,2,0.196966,0.0193982
2,2,2,0.198824,0.0197654
1,1,1,0.100197,0.0100395
2,2,2,0.202552,0.0205138
2,2,2,0.205008,0.0210141
2,2,2,0.206555,0.0213325
1,1,1,0.104127,0.0108424
2,2,2,0.211317,0.0223276
1,1,1,0.106631,0.0113701
2,2,2,0.215632,0.0232485
1,1,1,0.108165,0.0116997
1,1,1,0.109829,0.0120624
2,2,2,0.220902,0.024399
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0.114538,0.0131191
1,1,1,0.115537,0.0133488
1,1,1,0.116931,0.0136729
2,2,2,0.234759,0.027556
4,4,4,0.474237,0.0562253
0,0,0,0,0
0,0,0,0,0
1,1,1,0.121855,0.0148488
2,2,2,0.245013,0.0300161
0,0,0,0,0
2,2,2,0.249095,0.0310242
0,0,0,0,0
1,1,1,0.126294,0.0159502
1,1,1,0.127585,0.0162778
0,0,0,0,0
0,0,0,0,0
2,2,2,0.261332,0.0341472
1,1,1,0.131931,0.0174059
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0.135108,0.0182543
0,0,0,0,0
0,0,0,0,0
2,2,2,0.276799,0.0383089
0,0,0,0,0
1,1,1,0.140547,0.0197534
0,0,0,0,0
0,0,0,0,0
1,1,1,0.143634,0.0206308
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0.149527,0.0223583
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0.153977,0.0237089
1,1,1,0.154703,0.0239331
2,2,2,0.310336,0.0481542
0,0,0,0,0
1,1,1,0.157634,0.0248486
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0.161757,0.0261653
0,0,0,0,0
1,1,1,0.163413,0.0267039
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,2,2,0.337031,0.056795
0,0,0,0,0
1,1,1,0.170403,0.0290372
2,2,2,0.343034,0.0588363
0,0,0,0,0
1,1,1,0.173017,0.0299349
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0.178915,0.0320107
0,0,0,0,0
2,2,2,0.36142,0.0653121
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0.186449,0.0347631
1,1,1,0.187147,0.0350238
1,1,1,0.188935,0.0356965
1,1,1,0.189264,0.0358207
2,2,2,0.381541,0.0727869
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0.194397,0.0377901
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,2,2,0.408994,0.083638
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0.209644,0.0439505
0,0,0,0,0
0,0,0,0,0
1,1,1,0.212679,0.0452322
1,1,1,0.213138,0.0454278
0,0,0,0,0
0,0,0,0,0
1,1,1,0.216021,0.0466649
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,2,2,0.450725,0.101577
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0.229987,0.052894
0,0,0,0,0
1,1,1,0.231684,0.0536775
0,0,0,0,0
0,0,0,0,0
1,1,1,0.234342,0.0549162
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0.238255,0.0567654
1,1,1,0.239775,0.057492
1,1,1,0.240823,0.0579955
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0.248756,0.0618797
0,0,0,0,0
0,0,0,0,0
1,1,1,0.251322,0.0631627
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0.260599,0.0679119
1,1,1,0.261159,0.0682042
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0.273503,0.074804
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0.279765,0.0782682
1,1,1,0.280591,0.0787312
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0.285803,0.0816834
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0.291055,0.0847129
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0.316171,0.0999643
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0.328455,0.107883
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0.341172,0.116398
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0.360155,0.129711
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0.368051,0.135461
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0.4183,0.174975
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
